timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,fullName
1614:29,31,28,67,203,107,79,4,9,180:22,1338:40,67,36.0,13.8,2,0,0,0,95:27,39,6,59,2246,15:05,12:30,00:53,01:41,Joel Farabee
34:08,0,0,0,5,2,1,0,0,00:19,33:49,0,0.0,0,0,0,0,00:00,1,1,0,46,17:04,16:54,00:00,00:09,Egor Zamula
59:21,0,0,0,1,3,1,0,0,07:07,52:14,0,0.0,0,0,0,0,00:00,2,-1,0,76,19:47,17:24,00:00,02:22,Cam York
42:24,1,0,0,7,4,0,0,0,00:12,41:04,0,54.2,0.0,0,0,0,0,01:08,0,-3,1,66,10:36,10:16,00:17,00:03,Jackson Cates
19710:47,363,399,555,3538,1094,904,114,219,2959:13,15116:52,555,50.3,11.3,84,14,18,23,1634:42,527,40,762,25652,18:01,13:49,01:29,02:42,Jeff Carter
18716:18,680,424,984,3117,940,576,153,418,4135:59,14324:34,984,44.2,13.6,73,12,4,5,255:45,382,69,1104,21319,19:54,15:14,00:16,04:23,Evgeni Malkin
21639:25,839,486,699,3331,1039,892,145,480,4544:55,16597:39,699,52.1,14.6,69,18,4,11,496:51,502,183,1325,25459,20:49,15:58,00:28,04:22,Sidney Crosby
20726:25,448,134,612,2243,863,1407,44,225,3074:28,15985:06,612,20.0,6.0,26,6,4,13,1666:51,1289,80,582,23126,24:01,18:31,01:55,03:33,Kris Letang
7924:22,81,15,106,472,388,551,0,5,142:10,6983:11,106,100.0,3.2,1,0,1,6,799:01,535,73,96,10592,20:25,17:59,02:03,00:21,Brian Dumoulin
7996:32,126,147,194,1152,509,544,25,52,702:24,7079:47,194,26.0,12.8,25,2,3,5,214:21,229,12,273,10122,15:42,13:54,00:25,01:22,Jason Zucker
1898:43,16,6,88,141,182,265,0,0,11:17,1737:37,88,51.6,4.3,0,0,0,0,149:49,91,-34,22,2842,10:25,09:32,00:49,00:03,Michael Chaput
5902:10,112,100,122,781,364,533,16,33,402:26,5098:27,122,30.0,12.8,19,4,5,10,401:17,219,46,212,8195,16:12,14:00,01:06,01:06,Bryan Rust
1769:45,27,8,44,176,127,50,0,7,66:09,1629:19,44,4.5,0,0,0,1,74:17,121,7,35,2623,13:56,12:49,00:35,00:31,Taylor Fedun
7044:15,69,38,185,669,343,271,2,14,246:01,6186:34,185,50.0,5.7,6,2,0,4,611:40,481,-21,107,8599,20:32,18:02,01:46,00:43,Mike Matheson
2039:09,32,22,56,184,140,188,0,0,11:06,1735:09,56,46.2,12.0,4,0,4,8,292:54,74,19,54,2990,14:33,12:23,02:05,00:04,Teddy Blueger
4704:02,55,51,81,532,345,517,2,3,60:28,4068:39,81,39.7,9.6,4,0,5,6,574:55,123,-31,106,6763,13:38,11:47,01:39,00:10,Brock McGinn
2969:50,20,7,58,242,187,285,0,4,61:42,2713:46,58,2.9,1,0,0,0,194:22,164,-1,27,4098,15:52,14:30,01:02,00:19,Chad Ruhwedel
5513:36,136,121,120,747,299,397,26,54,666:37,4775:31,120,46.0,16.2,16,3,1,2,71:28,162,29,257,7004,18:26,15:58,00:14,02:13,Jake Guentzel
3652:23,68,52,62,443,242,279,2,10,227:32,3130:43,62,24.2,11.7,9,3,5,5,294:08,56,21,120,5061,15:05,12:56,01:12,00:56,Kasperi Kapanen
3814:00,53,7,129,228,222,276,1,8,160:39,3448:26,129,100.0,3.1,0,0,0,1,204:55,258,39,60,5109,17:10,15:32,00:55,00:43,Marcus Pettersson
193:30,2,2,11,12,16,23,0,0,00:29,193:01,11,0.0,16.7,0,0,0,0,00:00,12,0,4,288,12:05,12:03,00:00,00:01,Mark Friedman
813:12,13,6,48,89,84,184,0,0,02:01,775:22,48,50.4,6.7,1,0,0,0,35:49,28,-1,19,1245,09:40,09:13,00:25,00:01,Sam Lafferty
3942:39,77,44,44,441,272,172,7,26,458:56,3388:41,44,32.7,10.0,9,0,1,1,95:02,135,9,121,4973,14:29,12:27,00:20,01:41,Danton Heinen
197:26,2,3,12,24,27,64,1,1,15:14,181:56,12,0.0,12.5,0,0,0,0,00:16,7,3,5,312,07:18,06:44,00:00,00:33,Anthony Angello
2211:44,30,9,28,117,108,120,2,8,115:10,1885:39,28,7.7,1,0,0,1,210:55,127,22,39,2819,20:28,17:27,01:57,01:03,John Marino
3252:21,52,34,63,458,234,112,7,14,266:39,2762:31,63,44.5,7.4,3,0,0,3,223:11,93,-33,86,4362,13:53,11:48,00:57,01:08,Evan Rodrigues
2395:06,45,19,46,267,184,198,1,4,109:02,2270:54,46,35.3,7.1,0,0,0,0,15:10,62,0,64,3326,13:01,12:20,00:04,00:35,Dominik Simon
2249:09,24,27,71,273,161,424,0,0,45:05,1934:50,71,35.4,9.9,2,0,3,3,269:14,97,30,51,3373,13:58,12:01,01:40,00:16,Zach Aston-Reese
268:37,4,1,6,27,16,22,0,0,06:31,252:23,6,3.7,0,0,0,0,09:43,7,1,5,358,16:47,15:46,00:36,00:24,Pierre-Olivier Joseph
1139:51,9,3,16,82,75,165,2,4,83:45,1050:42,16,3.7,1,0,0,0,05:24,63,6,12,1613,15:11,14:00,00:04,01:07,Juuso Riikola
89:32,1,0,2,8,10,6,0,0,13:11,73:28,2,50.0,0.0,0,0,0,0,02:53,2,-2,1,121,08:57,07:20,00:17,01:19,Drew O'Connor
72:14,2,2,4,8,8,7,0,1,07:06,65:08,4,62.5,25.0,1,0,0,0,00:00,0,4,4,107,09:01,08:08,00:00,00:53,Radim Zohorna
9458:10,79,38,223,772,537,640,4,21,421:32,8316:55,223,4.9,9,6,1,2,719:43,571,-37,117,12767,17:36,15:29,01:20,00:47,John Moore
21490:22,542,375,440,3432,1143,888,114,284,3535:20,15694:57,440,57.4,10.9,70,9,20,43,2260:05,748,228,917,28123,18:48,13:43,01:58,03:05,Patrice Bergeron
14269:50,396,319,802,1985,804,684,56,152,1623:14,11358:21,802,38.9,16.1,61,16,31,51,1288:15,270,247,715,18125,17:44,14:07,01:36,02:01,Brad Marchand
15633:11,283,203,769,1760,957,2054,48,117,1907:03,13161:10,769,47.0,11.5,31,3,0,4,564:58,544,0,486,19658,16:20,13:45,00:35,01:59,Nick Foligno
